modelo,Acurácia,Precisão,Revocação,F1-Score,AUC-ROC
Árvore de Decisão,0.6655,0.6875379939209726,0.8794712286158631,0.7717502558853634,0.6900465814241715
Random Forest,0.67525,0.6832181922855498,0.9228227060653188,0.78514720476348,0.7185974603682843
Rede Neural MLP,0.642375,0.718803910293272,0.72900466562986,0.7238683524756298,0.6704720914415533
