modelo,Acurácia,Precisão,Revocação,F1-Score,AUC-ROC
Árvore de Decisão,0.659,0.6833080424886191,0.875388802488336,0.7675132094767343,0.6888500880523284
Random Forest,0.677375,0.6843619623075816,0.9247667185069984,0.7866060355518809,0.7190618519958528
Rede Neural MLP,0.6455,0.7213271960107404,0.7311430793157077,0.72620196949218,0.6806166576272811
